Date,Location,Location Level,Total Cases,Total Deaths,Total Recovered,New Cases,New Deaths,New Recovered,Province,Time Zone,Population,Longitude,Latitude,Case Fatality Rate,Case Recovered Rate
3/1/2020,DKI Jakarta,Province,39,20,75,2,0,0,DKI Jakarta,UTC+07:00,10846145,106.8361183,-6.204698991,51.28%,192.31%
3/2/2020,DKI Jakarta,Province,41,20,75,2,0,0,DKI Jakarta,UTC+07:00,10846145,106.8361183,-6.204698991,48.78%,182.93%
3/2/2020,Indonesia,Country,2,0,0,2,0,0,,,265185520,113.921327,-0.789275,0.00%,0.00%
3/2/2020,Riau,Province,1,0,1,1,0,0,Riau,UTC+07:00,6074100,101.8051092,0.511647851,0.00%,100.00%
3/3/2020,DKI Jakarta,Province,43,20,75,2,0,0,DKI Jakarta,UTC+07:00,10846145,106.8361183,-6.204698991,46.51%,174.42%
3/3/2020,Indonesia,Country,2,0,0,0,0,0,,,265185520,113.921327,-0.789275,0.00%,0.00%
3/3/2020,Jawa Barat,Province,1,1,60,1,1,0,Jawa Barat,UTC+07:00,45161325,107.6037083,-6.920432083,100.00%,6000.00%
3/3/2020,Riau,Province,1,0,1,0,0,0,Riau,UTC+07:00,6074100,101.8051092,0.511647851,0.00%,100.00%
3/4/2020,DKI Jakarta,Province,45,20,75,2,0,0,DKI Jakarta,UTC+07:00,10846145,106.8361183,-6.204698991,44.44%,166.67%
3/4/2020,Indonesia,Country,2,0,0,0,0,0,,,265185520,113.921327,-0.789275,0.00%,0.00%
3/4/2020,Jawa Barat,Province,2,1,60,1,0,0,Jawa Barat,UTC+07:00,45161325,107.6037083,-6.920432083,50.00%,3000.00%
3/4/2020,Riau,Province,1,0,1,0,0,0,Riau,UTC+07:00,6074100,101.8051092,0.511647851,0.00%,100.00%
3/5/2020,DKI Jakarta,Province,45,21,75,0,1,0,DKI Jakarta,UTC+07:00,10846145,106.8361183,-6.204698991,46.67%,166.67%
3/5/2020,Indonesia,Country,2,0,0,0,0,0,,,265185520,113.921327,-0.789275,0.00%,0.00%
3/5/2020,Jawa Barat,Province,3,1,60,1,0,0,Jawa Barat,UTC+07:00,45161325,107.6037083,-6.920432083,33.33%,2000.00%
3/5/2020,Riau,Province,1,0,1,0,0,0,Riau,UTC+07:00,6074100,101.8051092,0.511647851,0.00%,100.00%
3/6/2020,Banten,Province,1,5,111,1,0,1,Banten,UTC+07:00,10722374,106.1090043,-6.456736388,500.00%,11100.00%
3/6/2020,DKI Jakarta,Province,45,21,75,0,0,0,DKI Jakarta,UTC+07:00,10846145,106.8361183,-6.204698991,46.67%,166.67%
3/6/2020,Indonesia,Country,4,0,0,2,0,0,,,265185520,113.921327,-0.789275,0.00%,0.00%
3/6/2020,Jawa Barat,Province,4,1,60,1,0,0,Jawa Barat,UTC+07:00,45161325,107.6037083,-6.920432083,25.00%,1500.00%
3/6/2020,Riau,Province,1,0,1,0,0,0,Riau,UTC+07:00,6074100,101.8051092,0.511647851,0.00%,100.00%
3/7/2020,Banten,Province,1,5,111,0,0,0,Banten,UTC+07:00,10722374,106.1090043,-6.456736388,500.00%,11100.00%
